period_date,period_label,kg_seized,time_idx,year,half,half_sin,half_cos,log_kg_seized,lag_1,log_lag_1,lag_2,log_lag_2,lag_3,log_lag_3,roll_mean_2,roll_mean_3,roll_std_3,log_roll_mean_2,log_roll_mean_3,diff_1,log_diff_1,pct_change,trend_up,above_mean,regime
2021-03-31,2021 H1,6932.09297,0,2021,1,1.2246467991473532e-16,-1.0,8.844061308631897,,,,,,,6932.09297,6932.09297,,8.844061308631897,8.844061308631897,,,,0,0,low
2021-09-30,2021 H2,4781.42,1,2021,2,-2.4492935982947064e-16,1.0,8.472701973521598,6932.09297,8.844061308631897,,,,,5856.756485,5856.756485,1520.755441201612,8.658381641076748,8.658381641076748,-2150.6729699999996,-0.3713593351102986,-31.024871987543467,0,0,low
2022-03-31,2022 H1,3621.407,2,2022,1,1.2246467991473532e-16,-1.0,8.194894000987437,4781.42,8.472701973521598,6932.09297,8.844061308631897,,,4201.413500000001,5111.63999,1679.8643782565928,8.333797987254517,8.503885761046979,-1160.013,-0.2778079725341609,-24.260847196021263,0,0,low
2022-09-30,2022 H2,7249.725,3,2022,2,-2.4492935982947064e-16,1.0,8.888856742849054,3621.407,8.194894000987437,4781.42,8.472701973521598,6932.09297,8.844061308631897,5435.566000000001,5217.517333333333,1853.0538417397195,8.541875371918245,8.518817572452697,3628.318,0.6939627418616165,100.19083742865686,1,0,medium
2023-03-31,2023 H1,11866.28,4,2023,1,1.2246467991473532e-16,-1.0,9.381540312229626,7249.725,8.888856742849054,3621.407,8.194894000987437,4781.42,8.472701973521598,9558.0025,7579.137333333335,4132.295616306551,9.135198527539341,8.821763685355373,4616.555,0.49268356938057245,63.679036101369356,1,1,medium
2023-09-30,2023 H2,13714.12,5,2023,2,-2.4492935982947064e-16,1.0,9.526254152877721,11866.28,9.381540312229626,7249.725,8.888856742849054,3621.407,8.194894000987437,12790.2,10943.375,3329.5519080313197,9.453897232553674,9.265550402652133,1847.8400000000001,0.14471384064809456,15.57219280178792,1,1,high
2024-03-31,2024 H1,13415.2,6,2024,1,1.2246467991473532e-16,-1.0,9.504218210964975,13714.12,9.526254152877721,11866.28,9.381540312229626,7249.725,8.888856742849054,13564.66,12998.533333333335,991.8853258987832,9.515236181921349,9.470670892024108,-298.9200000000001,-0.022035941912745827,-2.1796513374536586,0,1,high
2024-09-30,2024 H2,14737.7,7,2024,2,-2.4492935982947064e-16,1.0,9.598231966467184,13415.2,9.504218210964975,13714.12,9.526254152877721,11866.28,9.381540312229626,14076.45,13955.673333333334,693.5506990360069,9.55122508871608,9.542901443436627,1322.5,0.0940137555022087,9.858220525970541,1,1,high
2025-03-31,2025 H1,12752.52,8,2025,1,1.2246467991473532e-16,-1.0,9.453562590915308,14737.7,9.598231966467184,13415.2,9.504218210964975,13714.12,9.526254152877721,13745.11,13635.14,1010.7003071138354,9.525897278691247,9.518670922782489,-1985.1800000000003,-0.1446693755518762,-13.470080134620732,0,1,medium
