period_date,time_idx,year,half,half_sin,half_cos,log_lag_1,log_lag_2,log_lag_3,log_roll_mean_2,log_roll_mean_3,log_diff_1,trend_up,above_mean
2022-09-30,3,2022,2,-2.4492935982947064e-16,1.0,8.194894000987437,8.472701973521598,8.844061308631897,8.541875371918245,8.518817572452697,0.6939627418616165,1,0
2023-03-31,4,2023,1,1.2246467991473532e-16,-1.0,8.888856742849054,8.194894000987437,8.472701973521598,9.135198527539341,8.821763685355373,0.49268356938057245,1,1
2023-09-30,5,2023,2,-2.4492935982947064e-16,1.0,9.381540312229626,8.888856742849054,8.194894000987437,9.453897232553674,9.265550402652133,0.14471384064809456,1,1
2024-03-31,6,2024,1,1.2246467991473532e-16,-1.0,9.526254152877721,9.381540312229626,8.888856742849054,9.515236181921349,9.470670892024108,-0.022035941912745827,0,1
2024-09-30,7,2024,2,-2.4492935982947064e-16,1.0,9.504218210964975,9.526254152877721,9.381540312229626,9.55122508871608,9.542901443436627,0.0940137555022087,1,1
2025-03-31,8,2025,1,1.2246467991473532e-16,-1.0,9.598231966467184,9.504218210964975,9.526254152877721,9.525897278691247,9.518670922782489,-0.1446693755518762,0,1
