county,kg_seized,period_label,period_date,time_idx,half,year,log_kg_seized,county_total,is_hotspot
Homa Bay,418.6,2024 H2,2024-09-30,7,2,2024,6.039301876522142,766.6,0
Homa Bay,160.3,2025 H1,2025-03-31,8,1,2025,5.083265985131163,766.6,0
Isiolo,40.83,2021 H1,2021-03-31,0,1,2021,3.733613785454107,1452.8410000000001,0
Isiolo,188.09,2021 H2,2021-09-30,1,2,2021,5.242223092193129,1452.8410000000001,0
Isiolo,179.423,2022 H1,2022-03-31,2,1,2022,5.195304093958558,1452.8410000000001,0
Isiolo,173.458,2022 H2,2022-09-30,3,2,2022,5.161684024993471,1452.8410000000001,0
Isiolo,50.14,2023 H1,2023-03-31,4,1,2023,3.9345669698630408,1452.8410000000001,0
Isiolo,302.22,2023 H2,2023-09-30,5,2,2023,5.714458614653435,1452.8410000000001,0
Isiolo,10.7,2024 H1,2024-03-31,6,1,2024,2.4595888418037104,1452.8410000000001,0
Isiolo,473.6,2024 H2,2024-09-30,7,2,2024,6.162472344001663,1452.8410000000001,0
Isiolo,34.38,2025 H1,2025-03-31,8,1,2025,3.566146688731639,1452.8410000000001,0
Kajiado,4.5,2021 H1,2021-03-31,0,1,2021,1.7047480922384253,1425.4720000000002,0
Kajiado,6.5,2021 H2,2021-09-30,1,2,2021,2.0149030205422647,1425.4720000000002,0
Kajiado,3.502,2022 H1,2022-03-31,2,1,2022,1.5045217424845405,1425.4720000000002,0
Kajiado,3.34,2022 H2,2022-09-30,3,2,2022,1.4678743481123135,1425.4720000000002,0
Kajiado,15.52,2023 H1,2023-03-31,4,1,2023,2.804571768092832,1425.4720000000002,0
Kajiado,1139.91,2023 H2,2023-09-30,5,2,2023,7.039581468573991,1425.4720000000002,0
Kajiado,10.5,2024 H1,2024-03-31,6,1,2024,2.4423470353692043,1425.4720000000002,0
Kajiado,170.6,2024 H2,2024-09-30,7,2,2024,5.145166187053862,1425.4720000000002,0
Kajiado,71.1,2025 H1,2025-03-31,8,1,2025,4.278054044290903,1425.4720000000002,0
Kakamega,1.15,2021 H1,2021-03-31,0,1,2021,0.7654678421395714,273.05,0
