county,kg_seized,period_label,period_date,time_idx,half,year,log_kg_seized,county_total,is_hotspot
Narok,260.785,2022 H2,2022-09-30,3,2,2022,5.56752355618881,2698.665,0
Narok,196.59,2023 H1,2023-03-31,4,1,2023,5.286194176745726,2698.665,0
Narok,31.78,2023 H2,2023-09-30,5,2,2023,3.4898185733156835,2698.665,0
Narok,133.6,2024 H1,2024-03-31,6,1,2024,4.902307417210627,2698.665,0
Narok,276.0,2024 H2,2024-09-30,7,2,2024,5.6240175061873385,2698.665,0
Narok,277.91,2025 H1,2025-03-31,8,1,2025,5.630889149135877,2698.665,0
Nyamira,1.905,2021 H1,2021-03-31,0,1,2021,1.0664333903038745,366.225,0
Nyamira,12.2,2021 H2,2021-09-30,1,2,2021,2.580216829592325,366.225,0
Nyamira,248.87,2022 H1,2022-03-31,2,1,2022,5.520940782615359,366.225,0
Nyamira,50.45,2022 H2,2022-09-30,3,2,2022,3.9406104622800586,366.225,0
Nyamira,12.05,2023 H1,2023-03-31,4,1,2023,2.5687881337687024,366.225,0
Nyamira,7.45,2023 H2,2023-09-30,5,2,2023,2.1341664413690826,366.225,0
Nyamira,3.8,2024 H1,2024-03-31,6,1,2024,1.5686159179138452,366.225,0
Nyamira,16.4,2024 H2,2024-09-30,7,2,2024,2.856470206220483,366.225,0
Nyamira,13.1,2025 H1,2025-03-31,8,1,2025,2.6461747973841225,366.225,0
Nyandarua,13.752,2021 H1,2021-03-31,0,1,2021,2.691378666814238,805.066,0
Nyandarua,430.8,2021 H2,2021-09-30,1,2,2021,6.067962518080707,805.066,0
Nyandarua,3.21,2022 H1,2022-03-31,2,1,2022,1.43746264769429,805.066,0
Nyandarua,26.884,2022 H2,2022-09-30,3,2,2022,3.3280530476241523,805.066,0
Nyandarua,15.99,2023 H1,2023-03-31,4,1,2023,2.8326249356838407,805.066,0
Nyandarua,23.11,2023 H2,2023-09-30,5,2,2023,3.1826266921930797,805.066,0
Nyandarua,254.8,2024 H1,2024-03-31,6,1,2024,5.5443958891447425,805.066,0
Nyandarua,24.0,2024 H2,2024-09-30,7,2,2024,3.2188758248682006,805.066,0
Nyandarua,12.52,2025 H1,2025-03-31,8,1,2025,2.604170070614818,805.066,0
Nyeri,72.415,2021 H1,2021-03-31,0,1,2021,4.296128274414901,1803.1149999999998,0
Nyeri,418.64,2021 H2,2021-09-30,1,2,2021,6.039397200863284,1803.1149999999998,0
Nyeri,6.653,2022 H1,2022-03-31,2,1,2022,2.035097727827784,1803.1149999999998,0
Nyeri,52.287,2022 H2,2022-09-30,3,2,2022,3.975692398983737,1803.1149999999998,0
Nyeri,1204.83,2023 H1,2023-03-31,4,1,2023,7.094923405493694,1803.1149999999998,0
Nyeri,6.34,2023 H2,2023-09-30,5,2,2023,1.9933388426264242,1803.1149999999998,0
Nyeri,3.2,2024 H1,2024-03-31,6,1,2024,1.4350845252893227,1803.1149999999998,0
Nyeri,16.9,2024 H2,2024-09-30,7,2,2024,2.884800712846709,1803.1149999999998,0
Nyeri,21.85,2025 H1,2025-03-31,8,1,2025,3.128951117340214,1803.1149999999998,0
Railways (CPIU),0.3,2021 H1,2021-03-31,0,1,2021,0.26236426446749106,5.887500000000001,0
Railways (CPIU),0.0,2021 H2,2021-09-30,1,2,2021,0.0,5.887500000000001,0
Railways (CPIU),1.0375,2022 H1,2022-03-31,2,1,2022,0.7117235661328808,5.887500000000001,0
Railways (CPIU),2.075,2022 H2,2022-09-30,3,2,2022,1.1233049012584813,5.887500000000001,0
Railways (CPIU),1.416666666666667,2023 H1,2023-03-31,4,1,2023,0.8823891801984738,5.887500000000001,0
Railways (CPIU),0.7583333333333335,2023 H2,2023-09-30,5,2,2023,0.5643663906940206,5.887500000000001,0
Railways (CPIU),0.1,2024 H1,2024-03-31,6,1,2024,0.09531017980432487,5.887500000000001,0
Railways (CPIU),0.1,2024 H2,2024-09-30,7,2,2024,0.09531017980432487,5.887500000000001,0
Railways (CPIU),0.1,2025 H1,2025-03-31,8,1,2025,0.09531017980432487,5.887500000000001,0
Samburu,55.0,2021 H1,2021-03-31,0,1,2021,4.02535169073515,398.75,0
Samburu,6.2,2021 H2,2021-09-30,1,2,2021,1.9740810260220096,398.75,0
Samburu,20.5,2022 H1,2022-03-31,2,1,2022,3.068052935133617,398.75,0
Samburu,8.5,2022 H2,2022-09-30,3,2,2022,2.2512917986064953,398.75,0
Samburu,0.0,2023 H1,2023-03-31,4,1,2023,0.0,398.75,0
Samburu,0.0,2023 H2,2023-09-30,5,2,2023,0.0,398.75,0
Samburu,200.6,2024 H1,2024-03-31,6,1,2024,5.306285536197214,398.75,0
Samburu,102.85,2024 H2,2024-09-30,7,2,2024,4.642947550322122,398.75,0
Samburu,5.1,2025 H1,2025-03-31,8,1,2025,1.8082887711792655,398.75,0
Siaya,111.575,2021 H1,2021-03-31,0,1,2021,4.723619666187635,715.435,0
Siaya,3.04,2021 H2,2021-09-30,1,2,2021,1.3962446919730587,715.435,0
Siaya,8.5,2022 H1,2022-03-31,2,1,2022,2.2512917986064953,715.435,0
Siaya,90.25,2022 H2,2022-09-30,3,2,2022,4.513602992462601,715.435,0
Siaya,2.34,2023 H1,2023-03-31,4,1,2023,1.205970806988609,715.435,0
Siaya,37.13,2023 H2,2023-09-30,5,2,2023,3.6410013738694724,715.435,0
Siaya,126.3,2024 H1,2024-03-31,6,1,2024,4.846546505563361,715.435,0
Siaya,157.1,2024 H2,2024-09-30,7,2,2024,5.0632277442154265,715.435,0
Siaya,179.2,2025 H1,2025-03-31,8,1,2025,5.194067345174237,715.435,0
Taita Taveta,0.887,2021 H1,2021-03-31,0,1,2021,0.6349882663864131,1338.473,0
Taita Taveta,6.47,2021 H2,2021-09-30,1,2,2021,2.010894999144726,1338.473,0
Taita Taveta,6.21,2022 H1,2022-03-31,2,1,2022,1.9754689512968577,1338.473,0
Taita Taveta,1.616,2022 H2,2022-09-30,3,2,2022,0.9616464335949523,1338.473,0
Taita Taveta,15.87,2023 H1,2023-03-31,4,1,2023,2.825536896557877,1338.473,0
Taita Taveta,112.61,2023 H2,2023-09-30,5,2,2023,4.732771530581813,1338.473,0
Taita Taveta,742.8,2024 H1,2024-03-31,6,1,2024,6.61177218149097,1338.473,0
Taita Taveta,451.0,2024 H2,2024-09-30,7,2,2024,6.113682179832232,1338.473,0
Taita Taveta,1.01,2025 H1,2025-03-31,8,1,2025,0.6981347220709844,1338.473,0
Tana River,0.2,2021 H1,2021-03-31,0,1,2021,0.18232155679395462,11.349,0
Tana River,0.2,2021 H2,2021-09-30,1,2,2021,0.18232155679395462,11.349,0
Tana River,5.096,2022 H1,2022-03-31,2,1,2022,1.807632818384345,11.349,0
Tana River,1.003,2022 H2,2022-09-30,3,2,2022,0.6946460566836812,11.349,0
Tana River,0.05,2023 H1,2023-03-31,4,1,2023,0.04879016416943201,11.349,0
Tana River,1.2,2023 H2,2023-09-30,5,2,2023,0.7884573603642702,11.349,0
Tana River,1.2,2024 H1,2024-03-31,6,1,2024,0.7884573603642702,11.349,0
Tana River,1.2,2024 H2,2024-09-30,7,2,2024,0.7884573603642702,11.349,0
Tana River,1.2,2025 H1,2025-03-31,8,1,2025,0.7884573603642702,11.349,0
Tharaka Nithi,8.988,2021 H1,2021-03-31,0,1,2021,2.3013843724175267,332.288,0
Tharaka Nithi,23.08,2021 H2,2021-09-30,1,2,2021,3.1813816204406202,332.288,0
Tharaka Nithi,175.75,2022 H1,2022-03-31,2,1,2022,5.174736304776682,332.288,0
Tharaka Nithi,21.5,2022 H2,2022-09-30,3,2,2022,3.1135153092103742,332.288,0
Tharaka Nithi,15.44,2023 H1,2023-03-31,4,1,2023,2.7997173896280336,332.288,0
Tharaka Nithi,6.68,2023 H2,2023-09-30,5,2,2023,2.038619547159581,332.288,0
Tharaka Nithi,61.6,2024 H1,2024-03-31,6,1,2024,4.136765278106052,332.288,0
Tharaka Nithi,2.3,2024 H2,2024-09-30,7,2,2024,1.1939224684724346,332.288,0
Tharaka Nithi,16.95,2025 H1,2025-03-31,8,1,2025,2.8875901149342877,332.288,0
Trans Nzoia,3.8,2021 H1,2021-03-31,0,1,2021,1.5686159179138452,137.2,0
Trans Nzoia,20.31,2021 H2,2021-09-30,1,2,2021,3.0591764461105257,137.2,0
Trans Nzoia,4.76,2022 H1,2022-03-31,2,1,2022,1.7509374747077997,137.2,0
Trans Nzoia,1.62,2022 H2,2022-09-30,3,2,2022,0.9631743177730056,137.2,0
Trans Nzoia,38.03,2023 H1,2023-03-31,4,1,2023,3.6643305811925235,137.2,0
Trans Nzoia,54.05,2023 H2,2023-09-30,5,2,2023,4.0082418631686885,137.2,0
Trans Nzoia,12.3,2024 H1,2024-03-31,6,1,2024,2.5877640352277083,137.2,0
Trans Nzoia,1.5,2024 H2,2024-09-30,7,2,2024,0.9162907318741551,137.2,0
Trans Nzoia,0.83,2025 H1,2025-03-31,8,1,2025,0.6043159668533296,137.2,0
Turkana,0.0,2021 H1,2021-03-31,0,1,2021,0.0,573.975,0
Turkana,0.0,2021 H2,2021-09-30,1,2,2021,0.0,573.975,0
Turkana,0.15,2022 H1,2022-03-31,2,1,2022,0.13976194237515868,573.975,0
Turkana,125.075,2022 H2,2022-09-30,3,2,2022,4.836876967962789,573.975,0
Turkana,250.0,2023 H1,2023-03-31,4,1,2023,5.5254529391317835,573.975,0
Turkana,0.0,2023 H2,2023-09-30,5,2,2023,0.0,573.975,0
Turkana,122.5,2024 H1,2024-03-31,6,1,2024,4.816241156068032,573.975,0
Turkana,66.25,2024 H2,2024-09-30,7,2,2024,4.208417018481948,573.975,0
Turkana,10.0,2025 H1,2025-03-31,8,1,2025,2.3978952727983707,573.975,0
Uasin Gishu,34.005,2021 H1,2021-03-31,0,1,2021,3.555490908429161,661.425,0
Uasin Gishu,28.13,2021 H2,2021-09-30,1,2,2021,3.3717685709713434,661.425,0
Uasin Gishu,16.62,2022 H1,2022-03-31,2,1,2022,2.8690346205080335,661.425,0
Uasin Gishu,454.43,2022 H2,2022-09-30,3,2,2022,6.121242027612733,661.425,0
Uasin Gishu,7.62,2023 H1,2023-03-31,4,1,2023,2.154085084675602,661.425,0
Uasin Gishu,0.36,2023 H2,2023-09-30,5,2,2023,0.3074846997479606,661.425,0
Uasin Gishu,40.8,2024 H1,2024-03-31,6,1,2024,3.7328963395307104,661.425,0
Uasin Gishu,5.7,2024 H2,2024-09-30,7,2,2024,1.9021075263969205,661.425,0
Uasin Gishu,73.76,2025 H1,2025-03-31,8,1,2025,4.314282982587362,661.425,0
Vihiga,3.25,2021 H1,2021-03-31,0,1,2021,1.4469189829363254,276.65999999999997,0
Vihiga,1.45,2021 H2,2021-09-30,1,2,2021,0.8960880245566356,276.65999999999997,0
Vihiga,6.0,2022 H1,2022-03-31,2,1,2022,1.9459101490553132,276.65999999999997,0
Vihiga,4.31,2022 H2,2022-09-30,3,2,2022,1.6695918352538475,276.65999999999997,0
Vihiga,2.0,2023 H1,2023-03-31,4,1,2023,1.0986122886681096,276.65999999999997,0
Vihiga,10.4,2023 H2,2023-09-30,5,2,2023,2.4336133554004498,276.65999999999997,0
Vihiga,13.3,2024 H1,2024-03-31,6,1,2024,2.6602595372658615,276.65999999999997,0
Vihiga,130.2,2024 H2,2024-09-30,7,2,2024,4.876722876509988,276.65999999999997,0
Vihiga,105.75,2025 H1,2025-03-31,8,1,2025,4.670489652108734,276.65999999999997,0
Wajir,469.145,2021 H1,2021-03-31,0,1,2021,6.153041157762781,609.8249999999999,0
Wajir,1.92,2021 H2,2021-09-30,1,2,2021,1.0715836162801904,609.8249999999999,0
Wajir,32.5,2022 H1,2022-03-31,2,1,2022,3.5115454388310208,609.8249999999999,0
Wajir,0.33,2022 H2,2022-09-30,3,2,2022,0.2851789422336624,609.8249999999999,0
Wajir,26.13,2023 H1,2023-03-31,4,1,2023,3.3006401266708405,609.8249999999999,0
Wajir,62.0,2023 H2,2023-09-30,5,2,2023,4.143134726391533,609.8249999999999,0
Wajir,3.0,2024 H1,2024-03-31,6,1,2024,1.3862943611198906,609.8249999999999,0
Wajir,1.8,2024 H2,2024-09-30,7,2,2024,1.0296194171811583,609.8249999999999,0
Wajir,13.0,2025 H1,2025-03-31,8,1,2025,2.639057329615259,609.8249999999999,0
West Pokot,0.0,2021 H1,2021-03-31,0,1,2021,0.0,17.4,0
West Pokot,0.0,2021 H2,2021-09-30,1,2,2021,0.0,17.4,0
West Pokot,11.0,2022 H1,2022-03-31,2,1,2022,2.4849066497880004,17.4,0
West Pokot,5.5,2022 H2,2022-09-30,3,2,2022,1.8718021769015913,17.4,0
West Pokot,0.0,2023 H1,2023-03-31,4,1,2023,0.0,17.4,0
West Pokot,0.0,2023 H2,2023-09-30,5,2,2023,0.0,17.4,0
West Pokot,0.3,2024 H1,2024-03-31,6,1,2024,0.26236426446749106,17.4,0
West Pokot,0.3,2024 H2,2024-09-30,7,2,2024,0.26236426446749106,17.4,0
West Pokot,0.3,2025 H1,2025-03-31,8,1,2025,0.26236426446749106,17.4,0
